"rep","beta_pred","se_pred","beta_dml","se_dml","beta0"
1,0.0033716495569611,0.00607354360890958,0.0678550245671555,0.0158215466260546,0.08
2,-0.010038495959115,0.00618405323531584,0.0474371554452426,0.0163281592851369,0.08
3,0.00332387671684478,0.00624766591949494,0.0842954940099938,0.0162248527563596,0.08
4,0.00565610006328175,0.00632274475066324,0.0876918953538223,0.0167129484584257,0.08
5,0.00231840822840983,0.00622880551677239,0.0637315823711855,0.0163596531658633,0.08
6,0.0140420481275566,0.00612509930869,0.0881347821476167,0.0162885486413595,0.08
7,0.0218729264035048,0.0061232726984508,0.0624739644181879,0.0159115581263002,0.08
8,-0.012164421287706,0.00611178810000616,0.0647803774311274,0.0165824143061237,0.08
9,0.0147340680040875,0.00622507273549402,0.081349201527071,0.0161863887785505,0.08
10,0.00863683455169184,0.00614537716605394,0.074275340093905,0.0165743392466414,0.08
11,-0.0116684645711226,0.00605269767503808,0.0638544011563699,0.0163739279445904,0.08
12,0.0102200319893328,0.00616327954854252,0.0484722287591363,0.0164509952985491,0.08
13,0.0151245396172382,0.00646325326958007,0.0896425660896084,0.0163146255578618,0.08
14,-0.0110089077735406,0.00629346241663003,0.0802607056700082,0.0160802636496125,0.08
15,0.00628839575001503,0.00618350616457107,0.05690089772705,0.0163272838593269,0.08
16,-0.0107485123269926,0.00619709049415462,0.0763025365146176,0.0166084157573249,0.08
17,0.00263312915048847,0.00603863039245161,0.104978333768868,0.0163844819566179,0.08
18,0.00735304231323939,0.00607427322803185,0.0729588182143327,0.016299263526568,0.08
19,-0.000125353521005868,0.00609781446348978,0.0592257199278092,0.0162427518335828,0.08
20,0.00787743477455699,0.00617654761594512,0.0288216811761761,0.0162272502116564,0.08
21,0.00948778565367492,0.00633891885700891,0.0702465690406864,0.0166252114432488,0.08
22,0.0157520456147227,0.00633829611353573,0.0831829726165116,0.0166372688649869,0.08
23,0.00739614721487604,0.00627335404169242,0.0823737765765001,0.0160517597879275,0.08
24,0.0137882251290079,0.00617753980245957,0.0866597229912703,0.0163684900450231,0.08
