framework,outcome,outcome_label,learner,estimate,std_error,p_value,n
IRM,loneliness,Loneliness,Elastic net,0.0567368150069929,0.0688480379683565,0.409889780092072,4298
IRM,loneliness,Loneliness,Lasso,0.0548195223051673,0.0530985158025304,0.301879352010023,4298
IRM,loneliness,Loneliness,Random forest,0.0409085431526375,0.0384434819552206,0.287273574286838,4298
IRM,life_dissatisfaction,Life dissatisfaction,Elastic net,0.168284775029844,0.121059488633199,0.164498563764892,4316
IRM,life_dissatisfaction,Life dissatisfaction,Lasso,0.224259060565688,0.137721641818391,0.103450654495688,4316
IRM,life_dissatisfaction,Life dissatisfaction,Random forest,-0.0173868237423034,0.204576819350612,0.932269963087737,4316
IRM,schoolwork_dissatisfaction,School-work dissatisfaction,Elastic net,0.500819673640869,0.115849133626787,1.53898426311647e-05,4329
IRM,schoolwork_dissatisfaction,School-work dissatisfaction,Lasso,0.551128086129948,0.133040830613249,3.43467784193742e-05,4329
IRM,schoolwork_dissatisfaction,School-work dissatisfaction,Random forest,0.505919748486192,0.108944985715596,3.42043135708087e-06,4329
IRM,school_dissatisfaction,School dissatisfaction,Elastic net,0.298815624466967,0.166326335774703,0.0724051338560169,4316
IRM,school_dissatisfaction,School dissatisfaction,Lasso,0.308462588427793,0.169113357231287,0.0681522288272134,4316
IRM,school_dissatisfaction,School dissatisfaction,Random forest,0.416653904987397,0.143243897295791,0.00362931861749633,4316
