replication,learner,fe_estimate,dml_estimate,difference
1,Elastic net,0.0235529582645439,0.0313109938611745,-0.00775803559663054
1,Lasso,0.0235529582645439,0.0291554385126101,-0.00560248024806613
1,Neural net,0.0235529582645439,0.0173001666662755,0.0062527915982684
1,Random forest,0.0235529582645439,0.00433153074680602,0.0192214275177379
2,Elastic net,0.0197503989502058,0.0217945755219808,-0.00204417657177498
2,Lasso,0.0197503989502058,0.0212053487853548,-0.001454949835149
2,Neural net,0.0197503989502058,0.0221487038870365,-0.00239830493683073
2,Random forest,0.0197503989502058,0.0210278327584691,-0.00127743380826329
3,Elastic net,0.0674967348883571,0.0399336424332316,0.0275630924551255
3,Lasso,0.0674967348883571,0.0395495882986297,0.0279471465897274
3,Neural net,0.0674967348883571,0.0288011273136153,0.0386956075747418
3,Random forest,0.0674967348883571,0.03969684698676,0.0277998879015971
4,Elastic net,0.0587198674396324,0.0283064874411562,0.0304133799984763
4,Lasso,0.0587198674396324,0.0272524654967373,0.0314674019428951
4,Neural net,0.0587198674396324,0.0241987183184049,0.0345211491212275
4,Random forest,0.0587198674396324,0.0308064306640339,0.0279134367755986
5,Elastic net,0.0148146905608706,0.00609015841777017,0.00872453214310042
5,Lasso,0.0148146905608706,0.00495414496578228,0.00986054559508831
5,Neural net,0.0148146905608706,0.00700163355900743,0.00781305700186316
5,Random forest,0.0148146905608706,0.00725565540745712,0.00755903515341347
6,Elastic net,0.0291732630983907,0.011590382024917,0.0175828810734737
6,Lasso,0.0291732630983907,0.0114975799015918,0.0176756831967989
6,Neural net,0.0291732630983907,0.0139425864786143,0.0152306766197764
6,Random forest,0.0291732630983907,-0.00163312480805628,0.030806387906447
7,Elastic net,0.00967399839425611,0.010384838905459,-0.000710840511202923
7,Lasso,0.00967399839425611,0.0101601576952443,-0.000486159300988186
7,Neural net,0.00967399839425611,0.0210722894697501,-0.011398291075494
7,Random forest,0.00967399839425611,0.0321263285198934,-0.0224523301256373
8,Elastic net,0.0522908458047249,0.0294238013068184,0.0228670444979065
8,Lasso,0.0522908458047249,0.0286121350988032,0.0236787107059217
8,Neural net,0.0522908458047249,0.0235652926640336,0.0287255531406913
8,Random forest,0.0522908458047249,0.0274469694565774,0.0248438763481475
9,Elastic net,0.0230024182202718,0.00696418036061346,0.0160382378596583
9,Lasso,0.0230024182202718,0.00845968584375801,0.0145427323765138
9,Neural net,0.0230024182202718,0.0127181040145917,0.0102843142056802
9,Random forest,0.0230024182202718,0.0204295462476639,0.00257287197260794
10,Elastic net,0.046524439818748,0.0161601739657579,0.0303642658529901
10,Lasso,0.046524439818748,0.0163955040896126,0.0301289357291354
10,Neural net,0.046524439818748,0.0130540271194257,0.0334704126993223
10,Random forest,0.046524439818748,0.0169036020315619,0.0296208377871861
11,Elastic net,0.0605922248142452,0.0573798537153494,0.00321237109889583
