replication,learner,fe_estimate,dml_estimate,difference
1,Elastic net,-0.052920864464281,0.0176036540043076,-0.0705245184685886
1,Lasso,-0.052920864464281,0.0195957796249455,-0.0725166440892266
1,Neural net,-0.052920864464281,0.00189730069770074,-0.0548181651619818
1,Random forest,-0.052920864464281,0.0902392429977551,-0.143160107462036
2,Elastic net,0.0537357729977231,0.0647456645166124,-0.0110098915188893
2,Lasso,0.0537357729977231,0.0682957939319598,-0.0145600209342367
2,Neural net,0.0537357729977231,0.0351446178828161,0.018591155114907
2,Random forest,0.0537357729977231,0.0654898637047886,-0.0117540907070655
3,Elastic net,0.0453281174427183,0.0595352873538827,-0.0142071699111644
3,Lasso,0.0453281174427183,0.0592714186196394,-0.0139433011769211
3,Neural net,0.0453281174427183,0.0642547755111834,-0.0189266580684651
3,Random forest,0.0453281174427183,0.106841301698452,-0.0615131842557335
4,Elastic net,-2.24421774161629e-05,0.0935782026298771,-0.0936006448072933
4,Lasso,-2.24421774161629e-05,0.0913509931279203,-0.0913734353053364
4,Neural net,-2.24421774161629e-05,0.0947456643051639,-0.0947681064825801
4,Random forest,-2.24421774161629e-05,0.0889790567068197,-0.0890014988842358
5,Elastic net,-0.0644145067725107,0.0553394819152136,-0.119753988687724
5,Lasso,-0.0644145067725107,0.0568578216315035,-0.121272328404014
5,Neural net,-0.0644145067725107,0.0449942367960365,-0.109408743568547
5,Random forest,-0.0644145067725107,0.0682287785748158,-0.132643285347327
6,Elastic net,0.0172182506484919,0.0760916207988915,-0.0588733701503996
6,Lasso,0.0172182506484919,0.0745531991543282,-0.0573349485058362
6,Neural net,0.0172182506484919,0.070513407192532,-0.05329515654404
6,Random forest,0.0172182506484919,0.0685145456804904,-0.0512962950319984
7,Elastic net,0.151919503935982,0.144046128854683,0.00787337508129976
7,Lasso,0.151919503935982,0.133476369202798,0.0184431347331845
7,Neural net,0.151919503935982,0.127231208718368,0.024688295217614
7,Random forest,0.151919503935982,0.097227438513569,0.0546920654224133
8,Elastic net,0.0108232509483087,0.15841629829541,-0.147593047347101
8,Lasso,0.0108232509483087,0.157623362259374,-0.146800111311065
8,Neural net,0.0108232509483087,0.133384850999383,-0.122561600051075
8,Random forest,0.0108232509483087,0.139304297196862,-0.128481046248553
9,Elastic net,0.0169189611707407,0.0788831494993357,-0.061964188328595
9,Lasso,0.0169189611707407,0.0845058300250663,-0.0675868688543256
9,Neural net,0.0169189611707407,0.058407828601509,-0.0414888674307683
9,Random forest,0.0169189611707407,0.126758786679273,-0.109839825508533
10,Elastic net,0.0214451868310907,0.114148658343335,-0.0927034715122445
10,Lasso,0.0214451868310907,0.11478195864909,-0.0933367718179995
10,Neural net,0.0214451868310907,0.106082098811233,-0.0846369119801426
10,Random forest,0.0214451868310907,0.122472311583264,-0.101027124752174
11,Elastic net,0.060962078346954,0.0755403382637922,-0.0145782599168382
11,Lasso,0.060962078346954,0.0773123937005978,-0.0163503153536438
11,Neural net,0.060962078346954,0.0499826381612399,0.0109794401857141
11,Random forest,0.060962078346954,0.121452431384537,-0.0604903530375828
12,Elastic net,0.102976189586466,0.11269416116854,-0.00971797158207366
12,Lasso,0.102976189586466,0.110411609328675,-0.0074354197422087
12,Neural net,0.102976189586466,0.104890631220858,-0.00191444163439235
12,Random forest,0.102976189586466,0.100821565161026,0.00215462442544019
13,Elastic net,0.0121103013669642,0.12388829942967,-0.111777998062706
13,Lasso,0.0121103013669642,0.125455268667745,-0.113344967300781
13,Neural net,0.0121103013669642,0.0367494291683372,-0.024639127801373
13,Random forest,0.0121103013669642,0.0875161493372319,-0.0754058479702678
14,Elastic net,-0.0537180779112862,0.0412678365069045,-0.0949859144181906
14,Lasso,-0.0537180779112862,0.0405439024268127,-0.0942619803380988
14,Neural net,-0.0537180779112862,0.0534337034054918,-0.107151781316778
14,Random forest,-0.0537180779112862,0.087031946197643,-0.140750024108929
15,Elastic net,-0.0536430279193952,0.02249414270144,-0.0761371706208353
15,Lasso,-0.0536430279193952,0.0166803671903567,-0.070323395109752
15,Neural net,-0.0536430279193952,0.0146660384169587,-0.068309066336354
15,Random forest,-0.0536430279193952,0.0729423185756957,-0.126585346495091
16,Elastic net,-0.0280700014975762,0.0646998597475996,-0.0927698612451758
16,Lasso,-0.0280700014975762,0.0637585133007942,-0.0918285147983705
16,Neural net,-0.0280700014975762,0.0286304205550453,-0.0567004220526215
16,Random forest,-0.0280700014975762,0.0971064128962647,-0.125176414393841
17,Elastic net,-0.0683833467296508,0.0717520112727481,-0.140135358002399
17,Lasso,-0.0683833467296508,0.0754100848259492,-0.1437934315556
17,Neural net,-0.0683833467296508,0.0811187446731809,-0.149502091402832
17,Random forest,-0.0683833467296508,0.046911570932578,-0.115294917662229
18,Elastic net,0.0270126500442558,0.102868316107465,-0.0758556660632096
18,Lasso,0.0270126500442558,0.104251221685835,-0.0772385716415791
18,Neural net,0.0270126500442558,0.0289912717228596,-0.00197862167860377
18,Random forest,0.0270126500442558,0.0863062108513233,-0.0592935608070675
19,Elastic net,-0.0169828830312373,0.053105241977857,-0.0700881250090944
19,Lasso,-0.0169828830312373,0.0517572631363466,-0.0687401461675839
19,Neural net,-0.0169828830312373,0.0809144327633353,-0.0978973157945727
