replication,learner,fe_estimate,dml_estimate,difference
1,Elastic net,0.0597932556599465,0.0867422666500086,-0.0269490109900621
1,Lasso,0.0597932556599465,0.10838916359696,-0.0485959079370133
1,Random forest,0.0597932556599465,0.0794881861290218,-0.0196949304690753
2,Elastic net,0.0611092948844883,0.0402006721579438,0.0209086227265446
2,Lasso,0.0611092948844883,0.0336205451956091,0.0274887496888793
2,Random forest,0.0611092948844883,0.0719070730003881,-0.0107977781158997
3,Elastic net,0.0392103369631522,-0.000222854701307908,0.0394331916644601
3,Lasso,0.0392103369631522,0.00890889410783867,0.0303014428553135
3,Random forest,0.0392103369631522,0.0867790242593057,-0.0475686872961536
4,Elastic net,0.0473595923576253,0.0789566889443417,-0.0315970965867164
4,Lasso,0.0473595923576253,0.0977106999232975,-0.0503511075656722
4,Random forest,0.0473595923576253,0.0684201259240035,-0.0210605335663782
5,Elastic net,0.0715260919770737,0.0392392034443069,0.0322868885327668
5,Lasso,0.0715260919770737,0.0354927526283088,0.036033339348765
5,Random forest,0.0715260919770737,0.11137457889916,-0.039848486922086
6,Elastic net,0.0152870739829134,0.0222102916642498,-0.00692321768133643
6,Lasso,0.0152870739829134,0.0220921946520598,-0.00680512066914644
6,Random forest,0.0152870739829134,0.0370493217996113,-0.0217622478166979
7,Elastic net,0.0918000339233688,0.127436807547283,-0.0356367736239139
7,Lasso,0.0918000339233688,0.0865773202315722,0.00522271369179667
7,Random forest,0.0918000339233688,0.0801837438555095,0.0116162900678593
8,Elastic net,0.0540540419253663,0.160745236596888,-0.106691194671522
8,Lasso,0.0540540419253663,0.208644242040667,-0.154590200115301
8,Random forest,0.0540540419253663,0.121368529782414,-0.0673144878570481
9,Elastic net,0.089590295653381,0.0580861266004304,0.0315041690529506
9,Lasso,0.089590295653381,0.0969240149054252,-0.00733371925204421
9,Random forest,0.089590295653381,0.0946765572197947,-0.00508626156641379
10,Elastic net,0.109715920800907,0.0607585359574575,0.0489573848434493
10,Lasso,0.109715920800907,0.0813173531437695,0.0283985676571373
10,Random forest,0.109715920800907,0.0831072921707797,0.026608628630127
11,Elastic net,0.0692891127295181,0.0537782437490298,0.0155108689804883
11,Lasso,0.0692891127295181,0.0500888005770348,0.0192003121524833
11,Random forest,0.0692891127295181,0.0279089267904103,0.0413801859391078
12,Elastic net,0.105524920677157,0.0433528348291456,0.062172085848011
12,Lasso,0.105524920677157,0.0312062707909478,0.0743186498862088
12,Random forest,0.105524920677157,0.0522626794138523,0.0532622412633043
13,Elastic net,0.0832158168124877,-0.00139923271093863,0.0846150495234264
13,Lasso,0.0832158168124877,-0.0491205158141835,0.132336332626671
13,Random forest,0.0832158168124877,0.0799355602187121,0.00328025659377565
14,Elastic net,0.130448202964071,0.0961049876133691,0.0343432153507017
14,Lasso,0.130448202964071,0.102347522640005,0.0281006803240656
14,Random forest,0.130448202964071,0.0673318907235128,0.063116312240558
15,Elastic net,0.125057764961781,0.129969787541864,-0.00491202258008286
15,Lasso,0.125057764961781,0.141031744195719,-0.0159739792339371
15,Random forest,0.125057764961781,0.116513419185298,0.00854434577648315
16,Elastic net,0.0122457282945662,-0.0269174416222475,0.0391631699168138
16,Lasso,0.0122457282945662,-0.0355360568844151,0.0477817851789814
16,Random forest,0.0122457282945662,0.0321197359715574,-0.0198740076769912
17,Elastic net,0.0450720240607803,0.0482608540466087,-0.00318882998582837
17,Lasso,0.0450720240607803,0.0296619983227605,0.0154100257380198
17,Random forest,0.0450720240607803,0.055304396996057,-0.0102323729352767
18,Elastic net,0.0378862897608671,-0.0213664676763125,0.0592527574371796
18,Lasso,0.0378862897608671,-0.0275616191600136,0.0654479089208807
18,Random forest,0.0378862897608671,0.0214484483640016,0.0164378413968654
19,Elastic net,0.102360087565131,0.00163218795165718,0.100727899613474
19,Lasso,0.102360087565131,0.00760707076580864,0.0947530167993228
19,Random forest,0.102360087565131,0.0800424879282193,0.0223175996369122
20,Elastic net,0.0169241954418615,0.0633772983805463,-0.0464531029386848
20,Lasso,0.0169241954418615,0.0590707117379702,-0.0421465162961087
20,Random forest,0.0169241954418615,0.0525581408507314,-0.0356339454088699
21,Elastic net,0.0956787302699027,0.105981408934688,-0.0103026786647852
21,Lasso,0.0956787302699027,0.11963873418184,-0.0239600039119373
21,Random forest,0.0956787302699027,0.0922428740284123,0.00343585624149041
22,Elastic net,0.100486470597743,0.104671299057782,-0.00418482846003937
22,Lasso,0.100486470597743,0.11602323344336,-0.0155367628456174
22,Random forest,0.100486470597743,0.107536620594833,-0.00705014999709015
23,Elastic net,0.0593462050951255,0.113530863122742,-0.0541846580276161
23,Lasso,0.0593462050951255,0.120004900725205,-0.0606586956300798
23,Random forest,0.0593462050951255,0.156442711728951,-0.0970965066338254
24,Elastic net,0.15037896488653,0.0862663672536969,0.0641125976328332
24,Lasso,0.15037896488653,0.0803238101962446,0.0700551546902855
24,Random forest,0.15037896488653,0.108148086809182,0.0422308780773475
25,Elastic net,0.119596050870916,0.0409944501912526,0.0786016006796638
25,Lasso,0.119596050870916,0.0323962025432513,0.0871998483276652
25,Random forest,0.119596050870916,0.0580128356687251,0.0615832152021913
26,Elastic net,0.132988978964746,0.123724387504931,0.00926459145981524
26,Lasso,0.132988978964746,0.135219751279953,-0.00223077231520749
26,Random forest,0.132988978964746,0.100479780259066,0.0325091987056798
27,Elastic net,0.0466637863292532,0.079941606461407,-0.0332778201321538
27,Lasso,0.0466637863292532,0.0779752754870615,-0.0313114891578083
27,Random forest,0.0466637863292532,0.0654141810500108,-0.0187503947207576
28,Elastic net,0.0824821408815674,0.0600778531836829,0.0224042876978845
28,Lasso,0.0824821408815674,0.0999811197328381,-0.0174989788512707
28,Random forest,0.0824821408815674,0.100309186288352,-0.0178270454067851
29,Elastic net,0.0242425439583727,0.0744185034495097,-0.050175959491137
29,Lasso,0.0242425439583727,0.0572182432427499,-0.0329756992843772
29,Random forest,0.0242425439583727,0.0461389303620555,-0.0218963864036828
30,Elastic net,0.0825016217931023,0.0485661534763339,0.0339354683167684
30,Lasso,0.0825016217931023,0.0235759428385597,0.0589256789545425
30,Random forest,0.0825016217931023,0.124081427366361,-0.0415798055732592
31,Elastic net,0.104377774385632,0.0367912442783754,0.0675865301072565
31,Lasso,0.104377774385632,0.0352183181411425,0.0691594562444894
31,Random forest,0.104377774385632,0.0757330069856188,0.0286447674000132
32,Elastic net,0.037006770848865,0.0370890299567893,-8.22591079242541e-05
32,Lasso,0.037006770848865,0.0151207110734162,0.0218860597754489
32,Random forest,0.037006770848865,0.072147104898535,-0.0351403340496699
33,Elastic net,0.0827904079494255,0.0126163640816653,0.0701740438677602
33,Lasso,0.0827904079494255,0.0278831689391757,0.0549072390102498
33,Random forest,0.0827904079494255,0.0906273962393475,-0.00783698828992201
34,Elastic net,-0.00818149861263474,0.0441176405555123,-0.0522991391681471
34,Lasso,-0.00818149861263474,0.00748267039213421,-0.0156641690047689
34,Random forest,-0.00818149861263474,0.160398082630842,-0.168579581243477
35,Elastic net,0.0619398578009717,-0.00497496085776208,0.0669148186587338
35,Lasso,0.0619398578009717,-0.00547040057392133,0.067410258374893
35,Random forest,0.0619398578009717,0.0787059864247831,-0.0167661286238113
36,Elastic net,0.0548489376102604,0.0316850653509213,0.0231638722593392
36,Lasso,0.0548489376102604,0.0358593458929175,0.018989591717343
36,Random forest,0.0548489376102604,0.121891193810811,-0.0670422562005503
37,Elastic net,0.0949784575972364,-0.0199345352420636,0.1149129928393
37,Lasso,0.0949784575972364,0.0207415050432685,0.0742369525539679
37,Random forest,0.0949784575972364,0.0521468623586613,0.0428315952385751
38,Elastic net,0.0958758231422375,-0.0421575995002072,0.138033422642445
38,Lasso,0.0958758231422375,-0.0373485399177921,0.13322436306003
38,Random forest,0.0958758231422375,0.0700454264491833,0.0258303966930542
39,Elastic net,0.0561652786895912,0.18413986426199,-0.127974585572399
39,Lasso,0.0561652786895912,0.166157373327455,-0.109992094637864
39,Random forest,0.0561652786895912,0.0949978420772712,-0.03883256338768
40,Elastic net,0.0479852531872957,0.146020390101004,-0.098035136913708
40,Lasso,0.0479852531872957,0.167968257982148,-0.119983004794852
40,Random forest,0.0479852531872957,0.104222558425037,-0.0562373052377417
41,Elastic net,0.0472597660521483,0.0607552733041548,-0.0134955072520065
41,Lasso,0.0472597660521483,0.157651050143012,-0.110391284090864
41,Random forest,0.0472597660521483,0.0478877105016642,-0.000627944449515965
42,Elastic net,0.0750546836627209,0.0264004941959904,0.0486541894667305
42,Lasso,0.0750546836627209,-0.00783063993308389,0.0828853235958048
42,Random forest,0.0750546836627209,0.0430270700258511,0.0320276136368697
43,Elastic net,0.039275276297379,0.0766781595443349,-0.0374028832469559
43,Lasso,0.039275276297379,0.0692572294472002,-0.0299819531498211
43,Random forest,0.039275276297379,0.0920722824106534,-0.0527970061132744
44,Elastic net,0.0219060352907927,-0.0415246729087732,0.0634307081995659
44,Lasso,0.0219060352907927,-0.0486576751781868,0.0705637104689795
44,Random forest,0.0219060352907927,0.0242771780985795,-0.00237114280778682
45,Elastic net,0.055773881141777,0.0638429503065453,-0.00806906916476827
45,Lasso,0.055773881141777,0.0681329310617023,-0.0123590499199253
45,Random forest,0.055773881141777,0.0916141311508474,-0.0358402500090704
46,Elastic net,0.100864810784189,0.139241756899686,-0.0383769461154966
46,Lasso,0.100864810784189,0.152026672582576,-0.0511618617983869
46,Random forest,0.100864810784189,0.0823035524966225,0.0185612582875665
47,Elastic net,0.0563913708375956,0.112687676433635,-0.0562963055960394
47,Lasso,0.0563913708375956,0.100214999572921,-0.0438236287353253
47,Random forest,0.0563913708375956,0.108392299998924,-0.052000929161328
48,Elastic net,0.0388144212204861,0.0351092690733704,0.00370515214711577
48,Lasso,0.0388144212204861,0.0208644693162135,0.0179499519042727
48,Random forest,0.0388144212204861,0.0655626386783604,-0.0267482174578742
49,Elastic net,0.104687443344486,0.128399810997521,-0.0237123676530349
49,Lasso,0.104687443344486,0.160412247707739,-0.0557248043632536
49,Random forest,0.104687443344486,0.102290202390285,0.00239724095420078
50,Elastic net,0.00396307928815068,-0.0474336541963789,0.0513967334845296
50,Lasso,0.00396307928815068,-0.059020750536922,0.0629838298250726
50,Random forest,0.00396307928815068,0.041162432309521,-0.0371993530213704
51,Elastic net,0.0711410401519,0.104380055307663,-0.0332390151557629
51,Lasso,0.0711410401519,0.137395020802216,-0.0662539806503163
51,Random forest,0.0711410401519,0.070116526493747,0.00102451365815294
52,Elastic net,0.0661775209356483,0.0880148051761884,-0.0218372842405402
52,Lasso,0.0661775209356483,0.100123127283608,-0.0339456063479592
52,Random forest,0.0661775209356483,0.120109254209547,-0.0539317332738986
53,Elastic net,0.0807658737604364,0.160284778624495,-0.0795189048640586
53,Lasso,0.0807658737604364,0.185213716040178,-0.104447842279741
53,Random forest,0.0807658737604364,0.135746327239176,-0.0549804534787396
54,Elastic net,0.0797347846211847,0.104753946308887,-0.0250191616877021
54,Lasso,0.0797347846211847,0.103972368783404,-0.0242375841622194
54,Random forest,0.0797347846211847,0.146289748203227,-0.0665549635820422
55,Elastic net,0.0734780106790345,-0.0337188123269344,0.107196823005969
55,Lasso,0.0734780106790345,-0.0215395849940403,0.0950175956730749
55,Random forest,0.0734780106790345,0.0404380760360037,0.0330399346430308
56,Elastic net,0.045163759231479,0.0318488663518146,0.0133148928796645
56,Lasso,0.045163759231479,0.0298428370949583,0.0153209221365207
56,Random forest,0.045163759231479,-0.0302185219577786,0.0753822811892577
57,Elastic net,0.0941074713858826,-0.0114396621489695,0.105547133534852
57,Lasso,0.0941074713858826,-0.0147947864997809,0.108902257885664
57,Random forest,0.0941074713858826,0.0564478419456644,0.0376596294402182
58,Elastic net,0.0757969216800829,0.0327583113751149,0.043038610304968
58,Lasso,0.0757969216800829,0.0246359972589034,0.0511609244211795
58,Random forest,0.0757969216800829,0.0402119095128836,0.0355850121671993
59,Elastic net,0.0937648085564182,-0.019790200207178,0.113555008763596
59,Lasso,0.0937648085564182,-0.0040976286694205,0.0978624372258387
59,Random forest,0.0937648085564182,0.110893739588447,-0.0171289310320288
60,Elastic net,0.13272232724927,0.0684861662724212,0.0642361609768486
60,Lasso,0.13272232724927,0.0623115757857382,0.0704107514635316
60,Random forest,0.13272232724927,0.0738987687214852,0.0588235585277846
61,Elastic net,0.0811768949097439,0.0759662731893278,0.00521062172041607
61,Lasso,0.0811768949097439,0.0709006812709492,0.0102762136387947
61,Random forest,0.0811768949097439,0.0813270646772433,-0.000150169767499472
62,Elastic net,0.0883927253804897,0.031643021226239,0.0567497041542507
62,Lasso,0.0883927253804897,0.0509500339042503,0.0374426914762394
62,Random forest,0.0883927253804897,0.0179151886599,0.0704775367205897
63,Elastic net,0.108161628827991,-0.0338443273210956,0.142005956149087
63,Lasso,0.108161628827991,-0.0155873869918332,0.123749015819824
63,Random forest,0.108161628827991,0.01783558736384,0.0903260414641512
64,Elastic net,0.0171481172188053,0.0471696396734502,-0.0300215224546448
64,Lasso,0.0171481172188053,0.05273417780455,-0.0355860605857446
64,Random forest,0.0171481172188053,0.103682426351468,-0.086534309132663
65,Elastic net,0.136813104859441,0.111426340580161,0.0253867642792793
65,Lasso,0.136813104859441,0.119278780784831,0.0175343240746091
65,Random forest,0.136813104859441,0.0915392261996267,0.0452738786598138
66,Elastic net,0.103463905415432,0.0340607889020854,0.0694031165133468
66,Lasso,0.103463905415432,0.0433934236542852,0.060070481761147
66,Random forest,0.103463905415432,0.137452076737709,-0.0339881713222771
67,Elastic net,0.139723098267523,0.139824062378129,-0.000100964110605589
67,Lasso,0.139723098267523,0.111507155482919,0.0282159427846039
67,Random forest,0.139723098267523,0.1148699494105,0.0248531488570227
68,Elastic net,0.04584757626178,0.0438580967853546,0.00198947947642539
68,Lasso,0.04584757626178,0.05504363711654,-0.00919606085476004
68,Random forest,0.04584757626178,0.0520449041599966,-0.0061973278982166
69,Elastic net,0.0743394544085645,0.0247668434221444,0.0495726109864201
69,Lasso,0.0743394544085645,-0.00335462309633518,0.0776940775048997
69,Random forest,0.0743394544085645,0.0858156532550048,-0.0114761988464403
70,Elastic net,-0.0289480948286696,0.101786432323002,-0.130734527151671
70,Lasso,-0.0289480948286696,0.0964344228623956,-0.125382517691065
70,Random forest,-0.0289480948286696,0.0434977476692984,-0.0724458424979679
71,Elastic net,0.0609459041237503,0.0519842559232072,0.0089616482005431
71,Lasso,0.0609459041237503,0.0595344383910281,0.00141146573272224
71,Random forest,0.0609459041237503,0.103603888875604,-0.0426579847518536
72,Elastic net,0.0659422611109076,-0.00874193632451365,0.0746841974354213
72,Lasso,0.0659422611109076,-0.0316708118503319,0.0976130729612395
72,Random forest,0.0659422611109076,0.104446750942511,-0.0385044898316037
73,Elastic net,0.0826723970885478,0.116610292504232,-0.0339378954156842
73,Lasso,0.0826723970885478,0.124325242981167,-0.0416528458926195
73,Random forest,0.0826723970885478,0.214002218571753,-0.131329821483205
74,Elastic net,0.0429479196797953,0.137121506723724,-0.0941735870439286
74,Lasso,0.0429479196797953,0.137492472222158,-0.0945445525423626
74,Random forest,0.0429479196797953,0.115496273072644,-0.0725483533928491
75,Elastic net,0.0980936351580987,0.137990840675735,-0.0398972055176363
75,Lasso,0.0980936351580987,0.162088028371355,-0.063994393213256
75,Random forest,0.0980936351580987,0.0416788034994984,0.0564148316586003
76,Elastic net,-0.0507455108003634,0.0569326221564493,-0.107678132956813
76,Lasso,-0.0507455108003634,0.0804125718781553,-0.131158082678519
76,Random forest,-0.0507455108003634,0.0310107194704859,-0.0817562302708493
77,Elastic net,0.0977609711036402,0.0597785897336816,0.0379823813699587
77,Lasso,0.0977609711036402,0.0660155900484819,0.0317453810551584
77,Random forest,0.0977609711036402,0.039047103554979,0.0587138675486612
78,Elastic net,0.126541210908764,0.0418997446768291,0.0846414662319351
78,Lasso,0.126541210908764,0.00241496722900432,0.12412624367976
78,Random forest,0.126541210908764,0.111880290965879,0.0146609199428853
79,Elastic net,0.143520664185404,0.132574790461971,0.0109458737234336
79,Lasso,0.143520664185404,0.141117994625361,0.0024026695600432
79,Random forest,0.143520664185404,0.100482845430697,0.0430378187547074
80,Elastic net,0.0702220020141403,-0.0181165187972767,0.0883385208114171
80,Lasso,0.0702220020141403,-0.00945074691357487,0.0796727489277152
80,Random forest,0.0702220020141403,0.0535778140983739,0.0166441879157664
81,Elastic net,0.145943322779523,0.144729901182019,0.0012134215975044
81,Lasso,0.145943322779523,0.204143567468103,-0.0582002446885802
81,Random forest,0.145943322779523,0.115940473336381,0.0300028494431418
82,Elastic net,0.0732088372739811,0.0341011772731621,0.039107660000819
82,Lasso,0.0732088372739811,0.0254913907106206,0.0477174465633605
82,Random forest,0.0732088372739811,0.0960667692470919,-0.0228579319731108
83,Elastic net,0.0818964046525876,-0.0449386460229578,0.126835050675545
83,Lasso,0.0818964046525876,-0.0407505400762858,0.122646944728874
83,Random forest,0.0818964046525876,0.0446797081470026,0.037216696505585
84,Elastic net,0.0730110337855756,0.176513974548555,-0.103502940762979
84,Lasso,0.0730110337855756,0.220561206981988,-0.147550173196413
84,Random forest,0.0730110337855756,0.0777889366017155,-0.00477790281613989
85,Elastic net,0.0504658372063175,0.0864762201456575,-0.03601038293934
85,Lasso,0.0504658372063175,0.0757072072540567,-0.0252413700477392
85,Random forest,0.0504658372063175,0.112072357949692,-0.0616065207433743
86,Elastic net,0.0787968089477088,-0.0161362631167366,0.0949330720644454
86,Lasso,0.0787968089477088,0.000940956850685272,0.0778558520970235
86,Random forest,0.0787968089477088,0.0456016638850886,0.0331951450626202
87,Elastic net,0.0454532954988484,0.065674070695209,-0.0202207751963605
87,Lasso,0.0454532954988484,0.0712229694844228,-0.0257696739855744
87,Random forest,0.0454532954988484,0.116101444523198,-0.0706481490243497
88,Elastic net,0.0522698954642575,-0.00124912325416627,0.0535190187184238
88,Lasso,0.0522698954642575,0.00459640496133579,0.0476734905029217
88,Random forest,0.0522698954642575,-0.00525975650145897,0.0575296519657165
89,Elastic net,0.09345628215117,0.0137833678128703,0.0796729143382998
89,Lasso,0.09345628215117,-0.00801590834407636,0.101472190495246
89,Random forest,0.09345628215117,0.0318371146055734,0.0616191675455966
90,Elastic net,0.0556185677254089,0.0288350945093255,0.0267834732160834
90,Lasso,0.0556185677254089,0.0271162965066336,0.0285022712187753
90,Random forest,0.0556185677254089,0.0692197549420604,-0.0136011872166515
91,Elastic net,0.0175150708575768,0.0666485002600322,-0.0491334294024554
91,Lasso,0.0175150708575768,0.0343903996356018,-0.016875328778025
91,Random forest,0.0175150708575768,0.180794585461425,-0.163279514603848
92,Elastic net,0.03786665010586,0.00397870776563843,0.0338879423402216
92,Lasso,0.03786665010586,-0.0162078613270278,0.0540745114328878
92,Random forest,0.03786665010586,0.0911565365244178,-0.0532898864185578
93,Elastic net,0.039735052227599,-0.0912517076495987,0.130986759877198
93,Lasso,0.039735052227599,-0.110629693736085,0.150364745963684
93,Random forest,0.039735052227599,0.0556948854168784,-0.0159598331892794
94,Elastic net,0.0961842723021218,-0.0386691595950477,0.13485343189717
94,Lasso,0.0961842723021218,-0.0595755421204963,0.155759814422618
94,Random forest,0.0961842723021218,0.0591298979622191,0.0370543743399027
95,Elastic net,0.0919792834679694,0.0396603376405537,0.0523189458274157
95,Lasso,0.0919792834679694,0.0424795510841412,0.0494997323838282
95,Random forest,0.0919792834679694,0.118796316667615,-0.026817033199646
96,Elastic net,0.0484053757311997,-0.00922198542225932,0.057627361153459
96,Lasso,0.0484053757311997,-0.00963761423959561,0.0580429899707953
96,Random forest,0.0484053757311997,0.0531409483868459,-0.00473557265564621
97,Elastic net,0.070629622236252,0.120910807377134,-0.050281185140882
97,Lasso,0.070629622236252,0.107082281188332,-0.03645265895208
97,Random forest,0.070629622236252,0.0941308751758663,-0.0235012529396143
98,Elastic net,0.108606865579609,-0.00892556440486054,0.117532429984469
98,Lasso,0.108606865579609,-0.00960687367255607,0.118213739252165
98,Random forest,0.108606865579609,0.0629476473282783,0.0456592182513305
99,Elastic net,-0.00318236673765762,-0.0343607015179552,0.0311783347802976
99,Lasso,-0.00318236673765762,-0.0460410935587565,0.0428587268210989
99,Random forest,-0.00318236673765762,0.0647886460278214,-0.067971012765479
100,Elastic net,0.0606594338287993,-0.0146089544022135,0.0752683882310128
100,Lasso,0.0606594338287993,-0.0215221690272184,0.0821816028560178
100,Random forest,0.0606594338287993,0.0279037704141265,0.0327556634146729
101,Elastic net,0.0262471822763444,-0.0181978512570336,0.044445033533378
101,Lasso,0.0262471822763444,-0.106846691051494,0.133093873327839
101,Random forest,0.0262471822763444,0.0568753302981133,-0.0306281480217689
102,Elastic net,0.0577249241625144,0.117302865791388,-0.0595779416288736
102,Lasso,0.0577249241625144,0.0851414035587677,-0.0274164793962532
102,Random forest,0.0577249241625144,0.0674668192878701,-0.00974189512535564
103,Elastic net,0.0646730362071675,0.00822816782984168,0.0564448683773258
103,Lasso,0.0646730362071675,-0.00933618630220147,0.0740092225093689
103,Random forest,0.0646730362071675,0.0551657941347461,0.00950724207242136
104,Elastic net,0.0490995903438031,0.0412341963906952,0.00786539395310788
104,Lasso,0.0490995903438031,0.0458075348019986,0.00329205554180451
104,Random forest,0.0490995903438031,0.103919754861399,-0.054820164517596
105,Elastic net,0.0804070756146312,-0.0338911918365394,0.114298267451171
105,Lasso,0.0804070756146312,-0.0436484772539988,0.12405555286863
105,Random forest,0.0804070756146312,0.0578771853785641,0.0225298902360671
106,Elastic net,0.0382145883874943,0.0130496384218759,0.0251649499656183
106,Lasso,0.0382145883874943,0.0129473415569229,0.0252672468305714
106,Random forest,0.0382145883874943,0.00624954946968194,0.0319650389178123
107,Elastic net,0.0173139916473089,0.00717982387987594,0.0101341677674329
107,Lasso,0.0173139916473089,0.0135890429804527,0.00372494866685618
107,Random forest,0.0173139916473089,0.0848883723244489,-0.06757438067714
108,Elastic net,0.0976150554755381,0.0448542517459773,0.0527608037295608
108,Lasso,0.0976150554755381,0.0625411347220583,0.0350739207534798
108,Random forest,0.0976150554755381,0.100362610207137,-0.00274755473159913
109,Elastic net,0.140743935478002,0.118688231147121,0.0220557043308814
109,Lasso,0.140743935478002,0.120277021076888,0.0204669144011144
