replication,learner,fe_estimate,dml_estimate,difference
1,Elastic net,-0.0609628627038889,0.61018559892034,-0.671148461624229
1,Lasso,-0.0609628627038889,0.574806614877003,-0.635769477580892
1,Random forest,-0.0609628627038889,0.558831702960614,-0.619794565664503
2,Elastic net,0.143880918354613,0.576276639826662,-0.432395721472049
2,Lasso,0.143880918354613,0.585356221900965,-0.441475303546353
2,Random forest,0.143880918354613,0.319125778211421,-0.175244859856808
3,Elastic net,0.147139795157534,0.55120132266166,-0.404061527504126
3,Lasso,0.147139795157534,0.488597922807017,-0.341458127649483
3,Random forest,0.147139795157534,0.428852290531606,-0.281712495374073
4,Elastic net,0.0601095087081698,0.787184876524657,-0.727075367816487
4,Lasso,0.0601095087081698,0.868990462498165,-0.808880953789996
4,Random forest,0.0601095087081698,0.738219470955423,-0.678109962247253
5,Elastic net,0.171120514793761,0.633769012230734,-0.462648497436973
5,Lasso,0.171120514793761,0.57864184064777,-0.407521325854009
5,Random forest,0.171120514793761,0.585250426516572,-0.414129911722811
6,Elastic net,0.104373804504954,0.382850295179585,-0.278476490674632
6,Lasso,0.104373804504954,0.426669392585617,-0.322295588080663
6,Random forest,0.104373804504954,0.276344059376721,-0.171970254871767
7,Elastic net,0.0999940106819538,0.496687256189381,-0.396693245507427
7,Lasso,0.0999940106819538,0.487908279668554,-0.3879142689866
7,Random forest,0.0999940106819538,0.49856181802056,-0.398567807338606
8,Elastic net,0.16056431360865,0.62070719615314,-0.46014288254449
8,Lasso,0.16056431360865,0.645054187826024,-0.484489874217375
8,Random forest,0.16056431360865,0.563933333908284,-0.403369020299634
9,Elastic net,0.113599003958699,0.656328407360204,-0.542729403401504
9,Lasso,0.113599003958699,0.593731012055235,-0.480132008096536
9,Random forest,0.113599003958699,0.510502996149656,-0.396903992190957
10,Elastic net,0.109558886220473,0.402382432506577,-0.292823546286104
10,Lasso,0.109558886220473,0.426407122263883,-0.31684823604341
10,Random forest,0.109558886220473,0.365930235855788,-0.256371349635315
11,Elastic net,0.0147741025196963,0.341082968258939,-0.326308865739243
11,Lasso,0.0147741025196963,0.425644470140827,-0.410870367621131
11,Random forest,0.0147741025196963,0.597025509559693,-0.582251407039997
12,Elastic net,0.196667672866833,0.685979887928889,-0.489312215062057
12,Lasso,0.196667672866833,0.817462248421262,-0.620794575554429
12,Random forest,0.196667672866833,0.639061312300476,-0.442393639433643
13,Elastic net,0.18883089013875,0.882831589029784,-0.694000698891034
13,Lasso,0.18883089013875,0.838985208624637,-0.650154318485887
13,Random forest,0.18883089013875,0.549672486838834,-0.360841596700084
14,Elastic net,0.207697467935501,0.501425706752467,-0.293728238816966
14,Lasso,0.207697467935501,0.636100655958537,-0.428403188023036
14,Random forest,0.207697467935501,0.471701345199096,-0.264003877263595
15,Elastic net,0.0101066999566686,0.419097295244094,-0.408990595287425
15,Lasso,0.0101066999566686,0.398340419395084,-0.388233719438415
15,Random forest,0.0101066999566686,0.537928695134255,-0.527821995177586
16,Elastic net,0.223361636118921,0.624299065482811,-0.40093742936389
16,Lasso,0.223361636118921,0.678875652838998,-0.455514016720077
16,Random forest,0.223361636118921,0.580249235407778,-0.356887599288857
17,Elastic net,0.122419268734578,0.532776301874316,-0.410357033139737
17,Lasso,0.122419268734578,0.531594760283844,-0.409175491549266
17,Random forest,0.122419268734578,0.352709348015275,-0.230290079280697
18,Elastic net,0.0775011783292307,0.296296474957424,-0.218795296628194
18,Lasso,0.0775011783292307,0.208025184001289,-0.130524005672058
18,Random forest,0.0775011783292307,0.434427686230512,-0.356926507901281
19,Elastic net,0.239212474696373,0.991623936860534,-0.752411462164161
19,Lasso,0.239212474696373,0.952074841451141,-0.712862366754768
19,Random forest,0.239212474696373,0.64066870852551,-0.401456233829136
20,Elastic net,0.251035386025932,0.502746466691082,-0.25171108066515
20,Lasso,0.251035386025932,0.531352462224687,-0.280317076198755
20,Random forest,0.251035386025932,0.391211308013697,-0.140175921987766
21,Elastic net,0.086605089393025,0.404182057463779,-0.317576968070754
21,Lasso,0.086605089393025,0.470043678100441,-0.383438588707416
21,Random forest,0.086605089393025,0.374965973247788,-0.288360883854763
22,Elastic net,0.0913631501862773,0.63790251500696,-0.546539364820683
22,Lasso,0.0913631501862773,0.61901369555827,-0.527650545371993
22,Random forest,0.0913631501862773,0.553029584654788,-0.461666434468511
23,Elastic net,0.11633450338444,0.449274881911066,-0.332940378526626
23,Lasso,0.11633450338444,0.509158221670933,-0.392823718286493
23,Random forest,0.11633450338444,0.501150965412617,-0.384816462028177
24,Elastic net,0.186464767466198,0.666875709910905,-0.480410942444706
24,Lasso,0.186464767466198,0.69178812946027,-0.505323361994072
24,Random forest,0.186464767466198,0.502980592591659,-0.31651582512546
25,Elastic net,0.112307759819443,0.502035936517843,-0.3897281766984
25,Lasso,0.112307759819443,0.606382550403722,-0.49407479058428
25,Random forest,0.112307759819443,0.360198892131665,-0.247891132312223
26,Elastic net,0.0849770999145381,0.472230073724364,-0.387252973809826
26,Lasso,0.0849770999145381,0.543014217172464,-0.458037117257926
26,Random forest,0.0849770999145381,0.559890759995099,-0.474913660080561
27,Elastic net,-0.0196845857552179,0.628951278128147,-0.648635863883365
27,Lasso,-0.0196845857552179,0.659462322258959,-0.679146908014177
27,Random forest,-0.0196845857552179,0.552149951103847,-0.571834536859065
28,Elastic net,-0.00217352075545395,0.527940964473267,-0.530114485228721
28,Lasso,-0.00217352075545395,0.550270617711789,-0.552444138467243
28,Random forest,-0.00217352075545395,0.469985574392055,-0.472159095147509
29,Elastic net,0.0513549701612447,0.347848391676316,-0.296493421515071
29,Lasso,0.0513549701612447,0.510041788148424,-0.45868681798718
29,Random forest,0.0513549701612447,0.410312334710904,-0.35895736454966
30,Elastic net,0.00286547884524745,0.560892252817156,-0.558026773971909
30,Lasso,0.00286547884524745,0.573881444147614,-0.571015965302366
30,Random forest,0.00286547884524745,0.556367721576972,-0.553502242731724
31,Elastic net,0.229901676524971,0.628678584666011,-0.398776908141039
31,Lasso,0.229901676524971,0.660263314945459,-0.430361638420487
31,Random forest,0.229901676524971,0.64372550281409,-0.413823826289119
32,Elastic net,0.165171747513886,0.558465321833083,-0.393293574319196
32,Lasso,0.165171747513886,0.638254730287574,-0.473082982773688
32,Random forest,0.165171747513886,0.665180053642324,-0.500008306128438
33,Elastic net,0.193563080597367,0.526564200171755,-0.333001119574387
33,Lasso,0.193563080597367,0.585586907387057,-0.39202382678969
33,Random forest,0.193563080597367,0.322681667701771,-0.129118587104403
34,Elastic net,0.116103001060575,0.762141621627474,-0.646038620566899
34,Lasso,0.116103001060575,0.791170673952518,-0.675067672891943
34,Random forest,0.116103001060575,0.685170892501851,-0.569067891441277
35,Elastic net,0.117154413866993,0.490820049549887,-0.373665635682894
35,Lasso,0.117154413866993,0.58762394529218,-0.470469531425186
35,Random forest,0.117154413866993,0.399673128950557,-0.282518715083563
36,Elastic net,0.190274590525302,0.488899272879016,-0.298624682353714
36,Lasso,0.190274590525302,0.374516055155206,-0.184241464629905
36,Random forest,0.190274590525302,0.753624996410778,-0.563350405885476
37,Elastic net,0.0994614721912331,0.441981744903859,-0.342520272712626
37,Lasso,0.0994614721912331,0.422926532367588,-0.323465060176355
37,Random forest,0.0994614721912331,0.457416936127041,-0.357955463935808
38,Elastic net,0.2375176290712,0.504513929990093,-0.266996300918893
38,Lasso,0.2375176290712,0.516003034077782,-0.278485405006582
38,Random forest,0.2375176290712,0.539365892300583,-0.301848263229383
39,Elastic net,0.192767275924136,0.551569561245388,-0.358802285321252
39,Lasso,0.192767275924136,0.56300416657262,-0.370236890648484
39,Random forest,0.192767275924136,0.530986946319431,-0.338219670395295
40,Elastic net,0.0473849923313659,0.451400436659081,-0.404015444327715
40,Lasso,0.0473849923313659,0.385976848119016,-0.338591855787651
40,Random forest,0.0473849923313659,0.315431120922282,-0.268046128590916
41,Elastic net,0.0380453277355768,0.677750277273291,-0.639704949537714
41,Lasso,0.0380453277355768,0.704702713956069,-0.666657386220492
41,Random forest,0.0380453277355768,0.607086821683413,-0.569041493947836
42,Elastic net,-0.137014951574452,0.608820907757217,-0.74583585933167
42,Lasso,-0.137014951574452,0.597251521351333,-0.734266472925785
42,Random forest,-0.137014951574452,0.46324445793189,-0.600259409506343
43,Elastic net,0.249181831803859,0.40440079464056,-0.155218962836701
43,Lasso,0.249181831803859,0.432848340741867,-0.183666508938008
43,Random forest,0.249181831803859,0.50570359502017,-0.256521763216311
44,Elastic net,0.0907704741350929,0.504433210102755,-0.413662735967662
44,Lasso,0.0907704741350929,0.503583601252309,-0.412813127117216
44,Random forest,0.0907704741350929,0.493684572380992,-0.402914098245899
45,Elastic net,0.106634629021773,0.75404034272521,-0.647405713703437
45,Lasso,0.106634629021773,0.743869653907387,-0.637235024885614
45,Random forest,0.106634629021773,0.600058045987844,-0.493423416966071
46,Elastic net,0.203170536080158,0.565050292122274,-0.361879756042117
46,Lasso,0.203170536080158,0.616872922711329,-0.413702386631172
46,Random forest,0.203170536080158,0.401343082626996,-0.198172546546838
47,Elastic net,-0.0802867703813521,0.233485125152501,-0.313771895533853
47,Lasso,-0.0802867703813521,0.20303986800237,-0.283326638383722
47,Random forest,-0.0802867703813521,0.349708118829752,-0.429994889211104
48,Elastic net,0.20477028907467,0.443639571289207,-0.238869282214537
48,Lasso,0.20477028907467,0.434283365024134,-0.229513075949464
48,Random forest,0.20477028907467,0.428387817754053,-0.223617528679383
49,Elastic net,0.243882189809061,0.50194410057724,-0.258061910768179
49,Lasso,0.243882189809061,0.51223093475863,-0.268348744949569
49,Random forest,0.243882189809061,0.597987361251119,-0.354105171442057
50,Elastic net,0.0831573301398961,0.560401379952395,-0.477244049812499
50,Lasso,0.0831573301398961,0.516506264195009,-0.433348934055113
50,Random forest,0.0831573301398961,0.394949392269673,-0.311792062129777
51,Elastic net,0.0517743009498917,0.813308855923079,-0.761534554973188
51,Lasso,0.0517743009498917,0.63047535155136,-0.578701050601469
51,Random forest,0.0517743009498917,0.577978330899021,-0.526204029949129
52,Elastic net,0.0339652869196797,0.544898819362285,-0.510933532442605
52,Lasso,0.0339652869196797,0.561397164670543,-0.527431877750863
52,Random forest,0.0339652869196797,0.534010318725084,-0.500045031805404
53,Elastic net,0.120851815602715,0.629093064580487,-0.508241248977773
53,Lasso,0.120851815602715,0.758302415709002,-0.637450600106287
53,Random forest,0.120851815602715,0.55972898022562,-0.438877164622905
54,Elastic net,0.118355561469525,0.416713770959118,-0.298358209489592
54,Lasso,0.118355561469525,0.420008653551561,-0.301653092082035
54,Random forest,0.118355561469525,0.549081367087905,-0.43072580561838
55,Elastic net,0.112557470926778,0.499880264459935,-0.387322793533157
55,Lasso,0.112557470926778,0.546814657686715,-0.434257186759938
55,Random forest,0.112557470926778,0.497845150583409,-0.385287679656632
56,Elastic net,0.132147063952254,0.347823474281078,-0.215676410328825
56,Lasso,0.132147063952254,0.383720109414527,-0.251573045462273
56,Random forest,0.132147063952254,0.471821300216304,-0.339674236264051
57,Elastic net,0.1379169830433,0.531863570860715,-0.393946587817415
57,Lasso,0.1379169830433,0.51716299177012,-0.37924600872682
57,Random forest,0.1379169830433,0.413308422624534,-0.275391439581234
58,Elastic net,0.0427920470367887,0.380475891328258,-0.337683844291469
58,Lasso,0.0427920470367887,0.443684304832343,-0.400892257795554
58,Random forest,0.0427920470367887,0.415972078752845,-0.373180031716056
59,Elastic net,-0.00479369714663185,0.764490215017415,-0.769283912164047
59,Lasso,-0.00479369714663185,0.922990580299922,-0.927784277446554
59,Random forest,-0.00479369714663185,0.750442498640969,-0.755236195787601
60,Elastic net,0.11988465483158,0.262471687672654,-0.142587032841074
60,Lasso,0.11988465483158,0.29834635087283,-0.178461696041251
60,Random forest,0.11988465483158,0.342303772918093,-0.222419118086514
61,Elastic net,0.0760207236245091,0.765414513080874,-0.689393789456365
61,Lasso,0.0760207236245091,0.717446802832777,-0.641426079208268
61,Random forest,0.0760207236245091,0.493440164138026,-0.417419440513517
62,Elastic net,0.0622624774428732,0.452536785266628,-0.390274307823755
62,Lasso,0.0622624774428732,0.45704198803291,-0.394779510590037
62,Random forest,0.0622624774428732,0.456518295780963,-0.39425581833809
63,Elastic net,0.113084469734741,0.465198959689676,-0.352114489954935
63,Lasso,0.113084469734741,0.511841440957697,-0.398756971222956
63,Random forest,0.113084469734741,0.557269689011458,-0.444185219276717
64,Elastic net,0.162507324380075,0.46453665114854,-0.302029326768465
64,Lasso,0.162507324380075,0.502801376800204,-0.340294052420129
64,Random forest,0.162507324380075,0.418544944863628,-0.256037620483553
65,Elastic net,0.231398567297871,0.414031170108713,-0.182632602810842
65,Lasso,0.231398567297871,0.421672472951905,-0.190273905654034
65,Random forest,0.231398567297871,0.507985209659758,-0.276586642361886
66,Elastic net,-0.0168415733865151,0.327912383255758,-0.344753956642273
66,Lasso,-0.0168415733865151,0.396555452110197,-0.413397025496712
66,Random forest,-0.0168415733865151,0.340372430417945,-0.35721400380446
67,Elastic net,0.103816175967492,0.782335384599827,-0.678519208632335
67,Lasso,0.103816175967492,0.908140274396598,-0.804324098429106
67,Random forest,0.103816175967492,0.507836599453299,-0.404020423485807
68,Elastic net,0.219757075887073,0.526828985597013,-0.30707190970994
68,Lasso,0.219757075887073,0.593354024258148,-0.373596948371075
68,Random forest,0.219757075887073,0.585624976468798,-0.365867900581725
69,Elastic net,0.140521551774841,0.568429211343339,-0.427907659568498
69,Lasso,0.140521551774841,0.589759823665171,-0.44923827189033
69,Random forest,0.140521551774841,0.406190099802275,-0.265668548027434
70,Elastic net,0.0916289395595143,0.511776013159556,-0.420147073600042
70,Lasso,0.0916289395595143,0.521714494167482,-0.430085554607967
70,Random forest,0.0916289395595143,0.405198730039425,-0.313569790479911
71,Elastic net,0.146178830078824,0.845011555162374,-0.698832725083549
71,Lasso,0.146178830078824,0.879181292618373,-0.733002462539549
71,Random forest,0.146178830078824,0.455537582825592,-0.309358752746768
72,Elastic net,-0.0924845406596094,0.467360755504293,-0.559845296163902
72,Lasso,-0.0924845406596094,0.495214805202708,-0.587699345862317
72,Random forest,-0.0924845406596094,0.419235853170443,-0.511720393830053
73,Elastic net,0.16569718066934,0.297270063470843,-0.131572882801504
73,Lasso,0.16569718066934,0.337976900167942,-0.172279719498603
73,Random forest,0.16569718066934,0.425262502096548,-0.259565321427208
74,Elastic net,0.0936764999783275,0.679619204888419,-0.585942704910092
74,Lasso,0.0936764999783275,0.643348371912454,-0.549671871934127
74,Random forest,0.0936764999783275,0.734502492148038,-0.640825992169711
75,Elastic net,0.177043175307519,0.54387034091928,-0.366827165611761
75,Lasso,0.177043175307519,0.542567306122344,-0.365524130814824
75,Random forest,0.177043175307519,0.56096421702995,-0.38392104172243
76,Elastic net,-0.0881177360223406,0.321554356446709,-0.40967209246905
76,Lasso,-0.0881177360223406,0.32167289195824,-0.40979062798058
76,Random forest,-0.0881177360223406,0.418105447075128,-0.506223183097469
77,Elastic net,0.20022121851679,0.46795812271438,-0.26773690419759
77,Lasso,0.20022121851679,0.475786643709503,-0.275565425192713
77,Random forest,0.20022121851679,0.485197899333704,-0.284976680816914
78,Elastic net,0.071058482162654,0.39451592149828,-0.323457439335626
78,Lasso,0.071058482162654,0.380154336563422,-0.309095854400768
78,Random forest,0.071058482162654,0.428473871274522,-0.357415389111868
79,Elastic net,0.13868340796285,0.582049770678132,-0.443366362715281
79,Lasso,0.13868340796285,0.558972441811821,-0.420289033848971
79,Random forest,0.13868340796285,0.480537030760406,-0.341853622797556
80,Elastic net,0.0400842978450782,0.67964911588423,-0.639564818039152
80,Lasso,0.0400842978450782,0.67202875200104,-0.631944454155962
80,Random forest,0.0400842978450782,0.523538507389029,-0.483454209543951
81,Elastic net,0.0689027572650229,0.52252853803122,-0.453625780766197
81,Lasso,0.0689027572650229,0.371044086592739,-0.302141329327716
81,Random forest,0.0689027572650229,0.456072454383209,-0.387169697118186
82,Elastic net,-0.0913263393918804,0.409161664206525,-0.500488003598406
82,Lasso,-0.0913263393918804,0.396752232267632,-0.488078571659512
82,Random forest,-0.0913263393918804,0.526444166550188,-0.617770505942069
83,Elastic net,0.240333392397574,0.655246128555161,-0.414912736157588
83,Lasso,0.240333392397574,0.680609562474778,-0.440276170077205
83,Random forest,0.240333392397574,0.577407941597009,-0.337074549199436
84,Elastic net,0.212284582591985,0.497355059296884,-0.285070476704899
84,Lasso,0.212284582591985,0.526800809202608,-0.314516226610623
84,Random forest,0.212284582591985,0.524003513990988,-0.311718931399002
85,Elastic net,0.192197625057199,0.616356220887876,-0.424158595830677
85,Lasso,0.192197625057199,0.660519680409777,-0.468322055352578
85,Random forest,0.192197625057199,0.543757197991604,-0.351559572934405
86,Elastic net,0.0372714410439642,0.424752245688976,-0.387480804645011
86,Lasso,0.0372714410439642,0.447425291200512,-0.410153850156548
86,Random forest,0.0372714410439642,0.413511345244742,-0.376239904200778
87,Elastic net,0.0770557152409522,0.414778127015126,-0.337722411774174
87,Lasso,0.0770557152409522,0.570498616072332,-0.49344290083138
87,Random forest,0.0770557152409522,0.416132409869554,-0.339076694628601
88,Elastic net,0.0695179340826476,0.334975603254897,-0.265457669172249
88,Lasso,0.0695179340826476,0.374111809581229,-0.304593875498581
88,Random forest,0.0695179340826476,0.444608211514045,-0.375090277431397
89,Elastic net,0.070754296109204,0.475715655434814,-0.40496135932561
89,Lasso,0.070754296109204,0.549099187441064,-0.47834489133186
89,Random forest,0.070754296109204,0.449053949783786,-0.378299653674582
90,Elastic net,0.0053952654695816,0.434923991484814,-0.429528726015232
90,Lasso,0.0053952654695816,0.399018154476233,-0.393622889006652
90,Random forest,0.0053952654695816,0.306913376415419,-0.301518110945838
91,Elastic net,-0.054481669087094,0.589066277628317,-0.643547946715411
91,Lasso,-0.054481669087094,0.513055458735718,-0.567537127822812
91,Random forest,-0.054481669087094,0.285960260402629,-0.340441929489723
92,Elastic net,0.0680375019845867,0.388154251805036,-0.320116749820449
92,Lasso,0.0680375019845867,0.415099233126591,-0.347061731142005
92,Random forest,0.0680375019845867,0.486253695565666,-0.41821619358108
93,Elastic net,0.262346936232258,0.642599165282279,-0.380252229050021
93,Lasso,0.262346936232258,0.559624461991423,-0.297277525759165
93,Random forest,0.262346936232258,0.488923559527877,-0.226576623295619
94,Elastic net,0.0716225562183801,0.371243866284573,-0.299621310066193
94,Lasso,0.0716225562183801,0.416641238707114,-0.345018682488734
94,Random forest,0.0716225562183801,0.592563210611464,-0.520940654393084
95,Elastic net,0.0442175005549627,0.501308141559309,-0.457090641004346
95,Lasso,0.0442175005549627,0.491005123963569,-0.446787623408607
95,Random forest,0.0442175005549627,0.44139382253689,-0.397176321981928
96,Elastic net,0.102925396674556,0.389431373585671,-0.286505976911115
96,Lasso,0.102925396674556,0.411752279649296,-0.30882688297474
96,Random forest,0.102925396674556,0.412614784429469,-0.309689387754913
97,Elastic net,-0.0669935362814835,0.277406110868099,-0.344399647149583
97,Lasso,-0.0669935362814835,0.326610441378736,-0.393603977660219
97,Random forest,-0.0669935362814835,0.401656213230142,-0.468649749511626
98,Elastic net,-0.0525304536857333,0.197079312843512,-0.249609766529246
98,Lasso,-0.0525304536857333,0.215856628624772,-0.268387082310505
98,Random forest,-0.0525304536857333,0.34078206970896,-0.393312523394693
99,Elastic net,0.11980789317774,0.587373457410912,-0.467565564233172
99,Lasso,0.11980789317774,0.595213327222245,-0.475405434044504
99,Random forest,0.11980789317774,0.625700624873879,-0.505892731696138
100,Elastic net,-0.0350720895573051,0.327387097208558,-0.362459186765863
100,Lasso,-0.0350720895573051,0.357341104717367,-0.392413194274673
100,Random forest,-0.0350720895573051,0.331472277717106,-0.366544367274411
101,Elastic net,0.215728866939129,0.819058383991537,-0.603329517052407
101,Lasso,0.215728866939129,0.825891601700291,-0.610162734761161
101,Random forest,0.215728866939129,0.513990277715587,-0.298261410776458
102,Elastic net,0.0239665707112668,0.548558824580132,-0.524592253868866
102,Lasso,0.0239665707112668,0.549083557347179,-0.525116986635912
102,Random forest,0.0239665707112668,0.240324079682023,-0.216357508970756
103,Elastic net,-0.0252082892287206,0.397519570051665,-0.422727859280385
103,Lasso,-0.0252082892287206,0.436355494373844,-0.461563783602565
103,Random forest,-0.0252082892287206,0.419462637269027,-0.444670926497748
104,Elastic net,0.105251083724706,0.367962465878935,-0.262711382154229
104,Lasso,0.105251083724706,0.398606104301129,-0.293355020576423
104,Random forest,0.105251083724706,0.426447678936233,-0.321196595211527
105,Elastic net,0.056920859795316,0.620431159213518,-0.563510299418202
105,Lasso,0.056920859795316,0.545834025404419,-0.488913165609103
105,Random forest,0.056920859795316,0.466897651155688,-0.409976791360372
106,Elastic net,0.176964721594851,0.383621220130215,-0.206656498535365
106,Lasso,0.176964721594851,0.421156457747741,-0.244191736152891
