model,estimate,std_error,p_value,n,n_clusters,specification
Fixed effects,0.030250207810735,0.0408837295441919,0.459469345418669,4316,,lo_rich
Elastic net,0.0565879407097261,0.0290236839305442,0.0512099791498972,4316,,lo_rich
Lasso,0.0616942321249871,0.0290227145168653,0.0335263870739157,4316,,lo_rich
Random forest,0.055554430027734,0.0286793337086738,0.0527344301882761,4316,,lo_rich
Neural net,0.0289417294999352,0.0291125966813384,0.320159184380241,4316,,lo_rich
Fixed effects,0.0347160557553854,0.0357877068653706,0.332138116943516,5001,3014,lo_common
Elastic net,0.065456670784229,0.0273757251634521,0.0168003598109565,5001,3014,lo_common
Lasso,0.0683591532188122,0.0275432065770819,0.0130688353880085,5001,3014,lo_common
Random forest,0.0536674510087661,0.0266454141493546,0.0439954020092903,5001,3014,lo_common
Neural net,0.0533607039076282,0.0279000385621004,0.0558034578328726,5001,3014,lo_common
Fixed effects,0.0788012711319771,0.0107547946661762,2.4450830794297e-13,33184,13900,ao_common
Elastic net,0.115077295252095,0.00938444961546005,1.43896758289733e-34,33184,13900,ao_common
Lasso,0.114699382541366,0.00938462066810395,2.37006382288333e-34,33184,13900,ao_common
Random forest,0.110215744946146,0.00936318508996983,5.49499088305353e-32,33184,13900,ao_common
Neural net,0.106441736105973,0.00938826954772392,8.53217881024954e-30,33184,13900,ao_common
