learner,threshold,estimate,std_error,p_value,n
Elastic net,1e-12,0.168284775029844,0.121059488633199,0.164498563764893,4316
Elastic net,0.01,0.190572648251829,0.110748982720741,0.0852940086903579,4316
Elastic net,0.025,0.185552849122954,0.0869341065608813,0.0328094004867416,4316
Elastic net,0.05,0.169418442792161,0.0714031014622399,0.0176583965531626,4316
Elastic net,0.1,0.158926733397106,0.0511208570069978,0.00187821308640391,4316
Lasso,1e-12,0.224259060565688,0.137721641818391,0.103450654495688,4316
Lasso,0.01,0.230305004579199,0.111655010645158,0.0391460665673434,4316
Lasso,0.025,0.224172312347815,0.0849450256612442,0.00831440811566545,4316
Lasso,0.05,0.21514773393388,0.0723001878362463,0.0029226708643054,4316
Lasso,0.1,0.203230066541869,0.0516532277466811,8.33670989955763e-05,4316
Random forest,1e-12,-0.0173868237423034,0.204576819350612,0.932269963087737,4316
Random forest,0.01,0.144275759000626,0.127568228048479,0.258067982043904,4316
Random forest,0.025,0.195849824307307,0.0958429132855133,0.0410083010458566,4316
Random forest,0.05,0.221952820178754,0.0677681264557266,0.00105594626156059,4316
Random forest,0.1,0.242204372744532,0.0505456850742027,1.65298821286134e-06,4316
