model,estimate,std_error,p_value,n,n_clusters,specification
Fixed effects,0.00686461696896692,0.04870045164595,0.887929755280015,3705,2546,l
Elastic net,0.0286983749676052,0.0299902477541985,0.338605833178993,3705,2546,l
Random forest,0.0380558948052585,0.0299046447400797,0.203168995167344,3705,2546,l
Fixed effects,0.0765581022860746,0.0529773799159788,0.148908367292853,2939,2264,m
Elastic net,0.0643201900321454,0.0349598106394549,0.0657928566548212,2939,2264,m
Random forest,0.0597041737634732,0.0336853909577726,0.0763272617874025,2939,2264,m
Fixed effects,-0.0266568221879261,0.0574258525073303,0.642639752554913,3081,2295,n
Elastic net,0.0520307140861157,0.0351337112220908,0.138624111756141,3081,2295,n
Random forest,0.0413559202824327,0.0345904135448588,0.231856959725494,3081,2295,n
Fixed effects,0.0459448669045079,0.0547531850609102,0.40163078336317,3223,2339,o
Elastic net,0.0859028375302392,0.0330131706761044,0.00926608370690744,3223,2339,o
Random forest,0.0704857807238484,0.0326142330075653,0.0306801293494698,3223,2339,o
