model,estimate,std_error,p_value,n,n_clusters,specification
Fixed effects,0.0360710390418953,0.0406028731500234,0.374474164812046,4291,2753,weekday
Elastic net,0.0615368104438545,0.0290096438344432,0.033900469641977,4291,2753,weekday
Lasso,0.0610316971871028,0.0290700729830714,0.0357756379457984,4291,2753,weekday
Random forest,0.060832773413153,0.0288220028711118,0.0348035614373386,4291,2753,weekday
Neural net,0.035754956780578,0.0273962820882174,0.191857940937446,4291,2753,weekday
Fixed effects,-0.0115851981980013,0.0340830460793955,0.733970823181575,4291,2753,weekend
Elastic net,0.0217911958355414,0.0242927437910449,0.369705635508914,4291,2753,weekend
Lasso,0.0209821599755843,0.0242833159212502,0.387556785510778,4291,2753,weekend
Random forest,0.0191603085861691,0.0238852218803407,0.422447359427427,4291,2753,weekend
Neural net,0.0237225637358761,0.0230123582866632,0.302605578467443,4291,2753,weekend
