"outcome","outcome_label","treatment","specification","estimator","sample","wave_fe","respondent_fe","estimate","std_error","p_value","n"
"life_dissatisfaction","Life dissatisfaction","social_media_weekday","Bivariate","ols","Wave l",FALSE,FALSE,0.243355494802466,0.0476735437442233,3.80146433501793e-07,1317
"life_dissatisfaction","Life dissatisfaction","social_media_weekday","+ Basic controls","ols","Wave l",FALSE,FALSE,0.207143936356087,0.0474546758596322,1.37040587559903e-05,1317
"life_dissatisfaction","Life dissatisfaction","social_media_weekday","+ Rich controls","ols","Wave l",FALSE,FALSE,0.209465555445398,0.078364278896712,0.00773021058533518,611
"life_dissatisfaction","Life dissatisfaction","social_media_weekday","DML PLR (+ rich controls)","dml_plr","Wave l",FALSE,FALSE,0.17828396586677,0.075411418017848,0.0180714539079867,611
"life_dissatisfaction","Life dissatisfaction","social_media_weekday","Bivariate","ols","Wave m",FALSE,FALSE,0.186219923256673,0.0483750930602332,0.000123674915817795,1407
"life_dissatisfaction","Life dissatisfaction","social_media_weekday","+ Basic controls","ols","Wave m",FALSE,FALSE,0.147402270550668,0.0478338805130109,0.00209939848790556,1406
"life_dissatisfaction","Life dissatisfaction","social_media_weekday","+ Rich controls","ols","Wave m",FALSE,FALSE,0.0346359967467355,0.0500891491296233,0.489378867303131,1377
"life_dissatisfaction","Life dissatisfaction","social_media_weekday","DML PLR (+ rich controls)","dml_plr","Wave m",FALSE,FALSE,0.0279638964414286,0.0493352329378954,0.570840616824129,1377
"life_dissatisfaction","Life dissatisfaction","social_media_weekday","Bivariate","ols","Wave n",FALSE,FALSE,0.183673794773594,0.0462298181666534,7.49221280687375e-05,1279
"life_dissatisfaction","Life dissatisfaction","social_media_weekday","+ Basic controls","ols","Wave n",FALSE,FALSE,0.153488649182145,0.0450969601644998,0.000685866853303916,1279
"life_dissatisfaction","Life dissatisfaction","social_media_weekday","+ Rich controls","ols","Wave n",FALSE,FALSE,0.0745324222069019,0.0482560988166197,0.122726070320727,1235
"life_dissatisfaction","Life dissatisfaction","social_media_weekday","DML PLR (+ rich controls)","dml_plr","Wave n",FALSE,FALSE,0.106052499872313,0.0455358821457681,0.0198597284342932,1235
"life_dissatisfaction","Life dissatisfaction","social_media_weekday","Bivariate","ols","Wave o",FALSE,FALSE,0.0839127632873179,0.0533672675202957,0.116145628727906,1134
"life_dissatisfaction","Life dissatisfaction","social_media_weekday","+ Basic controls","ols","Wave o",FALSE,FALSE,0.0660716285629201,0.0531024080151178,0.213672808677299,1134
"life_dissatisfaction","Life dissatisfaction","social_media_weekday","+ Rich controls","ols","Wave o",FALSE,FALSE,-0.0519157018232987,0.0566733307954827,0.359847926651171,1093
"life_dissatisfaction","Life dissatisfaction","social_media_weekday","DML PLR (+ rich controls)","dml_plr","Wave o",FALSE,FALSE,-0.0429439066286711,0.0564584133610174,0.446878691866322,1093
"life_dissatisfaction","Life dissatisfaction","social_media_weekday","Bivariate","ols","Pooled",FALSE,FALSE,0.178527778840664,0.0266699552239664,2.40403245081194e-11,5137
"life_dissatisfaction","Life dissatisfaction","social_media_weekday","+ Basic controls","ols","Pooled",FALSE,FALSE,0.14717849437816,0.0263381049023956,2.41488193975014e-08,5136
"life_dissatisfaction","Life dissatisfaction","social_media_weekday","+ Rich controls","ols","Pooled",FALSE,FALSE,0.0561740704267538,0.0288979229517283,0.0519754297401063,4316
"life_dissatisfaction","Life dissatisfaction","social_media_weekday","DML PLR (+ rich controls)","dml_plr","Pooled",FALSE,FALSE,0.0650792564565565,0.0288481973036541,0.0240755740067577,4316
"life_dissatisfaction","Life dissatisfaction","social_media_weekday","Bivariate","ols","Pooled + wave FE",TRUE,FALSE,0.17832665905931,0.026710280905515,2.70904346483133e-11,5137
