"outcome","outcome_label","treatment","specification","estimator","sample","wave_fe","respondent_fe","estimate","std_error","p_value","n"
"life_dissatisfaction","Life dissatisfaction","high_social_media_weekday","Bivariate","ols","Wave l",FALSE,FALSE,0.588097897836887,0.121153337170805,1.35366604513202e-06,1317
"life_dissatisfaction","Life dissatisfaction","high_social_media_weekday","+ Basic controls","ols","Wave l",FALSE,FALSE,0.541951572424442,0.118330967698797,5.09199807314675e-06,1317
"life_dissatisfaction","Life dissatisfaction","high_social_media_weekday","+ Rich controls","ols","Wave l",FALSE,FALSE,0.453237945119642,0.185598964023016,0.014903125389717,611
"life_dissatisfaction","Life dissatisfaction","high_social_media_weekday","DML IRM ATE (+ rich controls)","dml_irm","Wave l",FALSE,FALSE,2.14897138955009,1.49716925130475,0.151185578242294,611
"life_dissatisfaction","Life dissatisfaction","high_social_media_weekday","Bivariate","ols","Wave m",FALSE,FALSE,0.550727679820887,0.107743163231413,3.63665596016881e-07,1407
"life_dissatisfaction","Life dissatisfaction","high_social_media_weekday","+ Basic controls","ols","Wave m",FALSE,FALSE,0.497698909154094,0.105137843309711,2.42683428091481e-06,1406
"life_dissatisfaction","Life dissatisfaction","high_social_media_weekday","+ Rich controls","ols","Wave m",FALSE,FALSE,0.23478326389922,0.110067033352299,0.0330976562632853,1377
"life_dissatisfaction","Life dissatisfaction","high_social_media_weekday","DML IRM ATE (+ rich controls)","dml_irm","Wave m",FALSE,FALSE,0.359429396445631,0.399379825547974,0.368136835853549,1377
"life_dissatisfaction","Life dissatisfaction","high_social_media_weekday","Bivariate","ols","Wave n",FALSE,FALSE,0.314348846985963,0.115423772655539,0.0065487887544912,1279
"life_dissatisfaction","Life dissatisfaction","high_social_media_weekday","+ Basic controls","ols","Wave n",FALSE,FALSE,0.271836873500394,0.109529769174461,0.0131981122885326,1279
"life_dissatisfaction","Life dissatisfaction","high_social_media_weekday","+ Rich controls","ols","Wave n",FALSE,FALSE,0.0482178187365536,0.114865521793135,0.674723929236227,1235
"life_dissatisfaction","Life dissatisfaction","high_social_media_weekday","DML IRM ATE (+ rich controls)","dml_irm","Wave n",FALSE,FALSE,0.0563774363446979,0.210536230267167,0.788868503292229,1235
"life_dissatisfaction","Life dissatisfaction","high_social_media_weekday","Bivariate","ols","Wave o",FALSE,FALSE,0.368939064987697,0.130985012413575,0.00493702840086492,1134
"life_dissatisfaction","Life dissatisfaction","high_social_media_weekday","+ Basic controls","ols","Wave o",FALSE,FALSE,0.313894129032572,0.129054542526292,0.0151594217211064,1134
"life_dissatisfaction","Life dissatisfaction","high_social_media_weekday","+ Rich controls","ols","Wave o",FALSE,FALSE,0.0382891054790206,0.136868838112966,0.779723572440108,1093
"life_dissatisfaction","Life dissatisfaction","high_social_media_weekday","DML IRM ATE (+ rich controls)","dml_irm","Wave o",FALSE,FALSE,-0.282540188343675,0.446339345500699,0.5267228416885,1093
"life_dissatisfaction","Life dissatisfaction","high_social_media_weekday","Bivariate","ols","Pooled",FALSE,FALSE,0.463347616327041,0.0644685937451419,7.56260889762681e-13,5137
"life_dissatisfaction","Life dissatisfaction","high_social_media_weekday","+ Basic controls","ols","Pooled",FALSE,FALSE,0.413720525297957,0.062340556025525,3.54458108237018e-11,5136
"life_dissatisfaction","Life dissatisfaction","high_social_media_weekday","+ Rich controls","ols","Pooled",FALSE,FALSE,0.174119486821955,0.067730572892002,0.0101808466987073,4316
"life_dissatisfaction","Life dissatisfaction","high_social_media_weekday","DML IRM ATE (+ rich controls)","dml_irm","Pooled",FALSE,FALSE,0.254027455813603,0.165163256126356,0.124039188081622,4316
"life_dissatisfaction","Life dissatisfaction","high_social_media_weekday","Bivariate","ols","Pooled + wave FE",TRUE,FALSE,0.463068940709295,0.0645625794859037,8.41750663170588e-13,5137
"life_dissatisfaction","Life dissatisfaction","high_social_media_weekday","+ Basic controls","ols","Pooled + wave FE",TRUE,FALSE,0.413977486933773,0.0624264846429914,3.6663871498926e-11,5136
"life_dissatisfaction","Life dissatisfaction","high_social_media_weekday","+ Rich controls","ols","Pooled + wave FE",TRUE,FALSE,0.175693344313754,0.0677992511639083,0.00959176754537781,4316
"life_dissatisfaction","Life dissatisfaction","high_social_media_weekday","DML IRM ATE (+ rich controls)","dml_irm","Pooled + wave FE",TRUE,FALSE,0.239156601766211,0.145779715548161,0.100894153900636,4316
"life_dissatisfaction","Life dissatisfaction","high_social_media_weekday","Bivariate","fe","Within FE",FALSE,TRUE,0.139351446099912,0.0752844166465951,0.0643782817289473,3461
"life_dissatisfaction","Life dissatisfaction","high_social_media_weekday","+ Basic controls","fe","Within FE",FALSE,TRUE,0.0915975546772097,0.0743693973656505,0.218282491009621,3461
"life_dissatisfaction","Life dissatisfaction","high_social_media_weekday","+ Rich controls","fe","Within FE",FALSE,TRUE,0.0361360756653284,0.0888780533350154,0.684391574860892,2708
"life_dissatisfaction","Life dissatisfaction","high_social_media_weekday","DML IRM ATE (+ rich controls)","dml_irm","Within FE",FALSE,TRUE,NA,NA,NA,NA
"life_dissatisfaction","Life dissatisfaction","high_social_media_weekday","Bivariate","fe","Within FE + wave FE",TRUE,TRUE,0.0890119097696772,0.0740741794870985,0.229697149129383,3461
"life_dissatisfaction","Life dissatisfaction","high_social_media_weekday","+ Basic controls","fe","Within FE + wave FE",TRUE,TRUE,0.0890280383184155,0.0740750395847718,0.229618199085056,3461
"life_dissatisfaction","Life dissatisfaction","high_social_media_weekday","+ Rich controls","fe","Within FE + wave FE",TRUE,TRUE,0.0360747371144081,0.0887353116468161,0.684418907465594,2708
"life_dissatisfaction","Life dissatisfaction","high_social_media_weekday","DML IRM ATE (+ rich controls)","dml_irm","Within FE + wave FE",TRUE,TRUE,NA,NA,NA,NA
