"outcome","outcome_label","treatment","specification","estimator","sample","wave_fe","respondent_fe","estimate","std_error","p_value","n"
"school_dissatisfaction","School dissatisfaction","high_social_media_weekday","Bivariate","ols","Wave l",FALSE,FALSE,0.537622693661808,0.128785745028607,3.18176829963356e-05,1319
"school_dissatisfaction","School dissatisfaction","high_social_media_weekday","+ Basic controls","ols","Wave l",FALSE,FALSE,0.490518560461043,0.129386285166561,0.000156764767850357,1319
"school_dissatisfaction","School dissatisfaction","high_social_media_weekday","+ Rich controls","ols","Wave l",FALSE,FALSE,0.347485704966703,0.19616651960711,0.0770214698819525,613
"school_dissatisfaction","School dissatisfaction","high_social_media_weekday","DML IRM ATE (+ rich controls)","dml_irm","Wave l",FALSE,FALSE,1.04171879025294,0.954856589178921,0.275286591683506,613
"school_dissatisfaction","School dissatisfaction","high_social_media_weekday","Bivariate","ols","Wave m",FALSE,FALSE,0.470204830804679,0.114180881431539,4.0434126584377e-05,1406
"school_dissatisfaction","School dissatisfaction","high_social_media_weekday","+ Basic controls","ols","Wave m",FALSE,FALSE,0.399612137000809,0.113153085149048,0.000426440812330453,1405
"school_dissatisfaction","School dissatisfaction","high_social_media_weekday","+ Rich controls","ols","Wave m",FALSE,FALSE,0.105928088751741,0.122009806761757,0.3854435524498,1376
"school_dissatisfaction","School dissatisfaction","high_social_media_weekday","DML IRM ATE (+ rich controls)","dml_irm","Wave m",FALSE,FALSE,0.456533550907227,0.224048223345769,0.0415841936026214,1376
"school_dissatisfaction","School dissatisfaction","high_social_media_weekday","Bivariate","ols","Wave n",FALSE,FALSE,0.543526110583013,0.149398883753857,0.000285630881888341,1278
"school_dissatisfaction","School dissatisfaction","high_social_media_weekday","+ Basic controls","ols","Wave n",FALSE,FALSE,0.486851292584811,0.151209075818715,0.00131552358955532,1278
"school_dissatisfaction","School dissatisfaction","high_social_media_weekday","+ Rich controls","ols","Wave n",FALSE,FALSE,0.275359009313025,0.154310187437974,0.0746027332926696,1234
"school_dissatisfaction","School dissatisfaction","high_social_media_weekday","DML IRM ATE (+ rich controls)","dml_irm","Wave n",FALSE,FALSE,0.308087913832546,0.482330885405355,0.522986846952861,1234
"school_dissatisfaction","School dissatisfaction","high_social_media_weekday","Bivariate","ols","Wave o",FALSE,FALSE,0.638984652835836,0.158004136144723,5.60753505306508e-05,1136
"school_dissatisfaction","School dissatisfaction","high_social_media_weekday","+ Basic controls","ols","Wave o",FALSE,FALSE,0.568532508994234,0.157738481535477,0.000326637885910159,1136
